time	V(ds)	V(vg)	Id(M2)	Is(M2)
Step Information: V2=500m  (Run: 1/7)
0.000000000000000e+000	-4.768353e-027	5.000000e-001	-1.322376e-025	-1.322376e-025
2.355199933390395e-005	7.065599e-005	5.000000e-001	1.230294e-010	-1.230268e-010
3.327999905877732e-005	9.983998e-005	5.000000e-001	1.738162e-010	-1.738136e-010
6.195199824787778e-005	1.858560e-004	5.000000e-001	3.233551e-010	-3.233523e-010
1.848319947725940e-004	5.544959e-004	5.000000e-001	9.632076e-010	-9.632047e-010
3.055460968823809e-003	9.166381e-003	5.000000e-001	1.538870e-008	-1.538869e-008
5.985148468823809e-003	1.795544e-002	5.000000e-001	2.913544e-008	-2.913543e-008
9.891398468823809e-003	2.967419e-002	5.000000e-001	4.585247e-008	-4.585246e-008
1.477421096882381e-002	4.432262e-002	5.000000e-001	6.410247e-008	-6.410246e-008
2.063358596882381e-002	6.190075e-002	5.000000e-001	8.204028e-008	-8.204025e-008
2.844608596882381e-002	8.533825e-002	5.000000e-001	9.909655e-008	-9.909652e-008
3.723514846882381e-002	1.117054e-001	5.000000e-001	1.087264e-007	-1.087264e-007
4.797733596882381e-002	1.439320e-001	5.000000e-001	1.131232e-007	-1.131232e-007
6.067264846882381e-002	1.820179e-001	5.000000e-001	1.181471e-007	-1.181470e-007
7.532108596882381e-002	2.259632e-001	5.000000e-001	1.237098e-007	-1.237097e-007
9.192264846882381e-002	2.757679e-001	5.000000e-001	1.296134e-007	-1.296133e-007
1.114538984688238e-001	3.343617e-001	5.000000e-001	1.359781e-007	-1.359780e-007
1.348913984688238e-001	4.046742e-001	5.000000e-001	1.428465e-007	-1.428464e-007
1.641882734688238e-001	4.925648e-001	5.000000e-001	1.504441e-007	-1.504440e-007
2.022742109688238e-001	6.068226e-001	5.000000e-001	1.590675e-007	-1.590675e-007
2.511023359688238e-001	7.533070e-001	5.000000e-001	1.686586e-007	-1.686585e-007
3.155554609688238e-001	9.466664e-001	5.000000e-001	1.796627e-007	-1.796626e-007
4.024695234688238e-001	1.207409e+000	5.000000e-001	1.926987e-007	-1.926986e-007
5.216101484688238e-001	1.564830e+000	5.000000e-001	2.087495e-007	-2.087493e-007
6.866492109688238e-001	2.059948e+000	5.000000e-001	2.294423e-007	-2.294422e-007
9.190710859688238e-001	2.757213e+000	5.000000e-001	2.576697e-007	-2.576696e-007
9.678992109688238e-001	2.903697e+000	5.000000e-001	2.636509e-007	-2.636507e-007
9.990234375000000e-001	2.997070e+000	5.000000e-001	2.674898e-007	-2.674897e-007
1.000000000000000e+000	3.000000e+000	5.000000e-001	2.676107e-007	-2.676105e-007
Step Information: V2=750m  (Run: 2/7)
0.000000000000000e+000	-4.768352e-027	7.500000e-001	-1.322376e-025	-1.322376e-025
2.355199933390395e-005	7.065597e-005	7.500000e-001	3.544449e-010	-3.544424e-010
3.327999905877732e-005	9.983995e-005	7.500000e-001	5.008176e-010	-5.008149e-010
6.195199824787778e-005	1.858559e-004	7.500000e-001	9.320870e-010	-9.320842e-010
1.848319947725940e-004	5.544957e-004	7.500000e-001	2.779412e-009	-2.779409e-009
3.055460968823809e-003	9.166379e-003	7.500000e-001	4.543670e-008	-4.543669e-008
5.985148468823809e-003	1.795544e-002	7.500000e-001	8.804017e-008	-8.804015e-008
9.891398468823809e-003	2.967418e-002	7.500000e-001	1.433051e-007	-1.433051e-007
1.477421096882381e-002	4.432261e-002	7.500000e-001	2.098578e-007	-2.098578e-007
2.063358596882381e-002	6.190073e-002	7.500000e-001	2.859344e-007	-2.859343e-007
2.844608596882381e-002	8.533822e-002	7.500000e-001	3.808119e-007	-3.808119e-007
3.723514846882381e-002	1.117054e-001	7.500000e-001	4.784117e-007	-4.784117e-007
4.797733596882381e-002	1.439320e-001	7.500000e-001	5.842899e-007	-5.842899e-007
5.969608596882381e-002	1.790882e-001	7.500000e-001	6.826214e-007	-6.826213e-007
7.239139846882381e-002	2.171741e-001	7.500000e-001	7.685241e-007	-7.685240e-007
8.508671096882381e-002	2.552601e-001	7.500000e-001	8.326095e-007	-8.326094e-007
9.778202346882381e-002	2.933460e-001	7.500000e-001	8.745679e-007	-8.745678e-007
1.114538984688238e-001	3.343616e-001	7.500000e-001	8.948060e-007	-8.948059e-007
1.348913984688238e-001	4.046741e-001	7.500000e-001	9.091139e-007	-9.091139e-007
1.641882734688238e-001	4.925647e-001	7.500000e-001	9.253028e-007	-9.253027e-007
2.012976484688238e-001	6.038929e-001	7.500000e-001	9.438594e-007	-9.438593e-007
2.501257734688238e-001	7.503772e-001	7.500000e-001	9.660799e-007	-9.660798e-007
3.145788984688238e-001	9.437366e-001	7.500000e-001	9.931377e-007	-9.931375e-007
4.014929609688238e-001	1.204479e+000	7.500000e-001	1.027536e-006	-1.027536e-006
5.196570234688238e-001	1.558971e+000	7.500000e-001	1.072984e-006	-1.072984e-006
6.846960859688238e-001	2.054088e+000	7.500000e-001	1.137106e-006	-1.137106e-006
9.171179609688238e-001	2.751354e+000	7.500000e-001	1.232775e-006	-1.232775e-006
9.669226484688238e-001	2.900768e+000	7.500000e-001	1.254406e-006	-1.254406e-006
9.990234375000000e-001	2.997070e+000	7.500000e-001	1.268590e-006	-1.268590e-006
1.000000000000000e+000	3.000000e+000	7.500000e-001	1.269025e-006	-1.269025e-006
Step Information: V2=1  (Run: 3/7)
0.000000000000000e+000	-4.768354e-027	1.000000e+000	-1.322377e-025	-1.322377e-025
2.355199933390395e-005	7.065594e-005	1.000000e+000	5.795076e-010	-5.795050e-010
3.327999905877732e-005	9.983991e-005	1.000000e+000	8.188418e-010	-8.188392e-010
6.195199824787778e-005	1.858558e-004	1.000000e+000	1.524107e-009	-1.524104e-009
1.848319947725940e-004	5.544955e-004	1.000000e+000	4.545750e-009	-4.545748e-009
3.055460968823809e-003	9.166376e-003	1.000000e+000	7.465817e-008	-7.465817e-008
5.985148468823809e-003	1.795543e-002	1.000000e+000	1.453217e-007	-1.453217e-007
9.891398468823809e-003	2.967417e-002	1.000000e+000	2.380659e-007	-2.380659e-007
1.477421096882381e-002	4.432260e-002	1.000000e+000	3.515749e-007	-3.515749e-007
2.063358596882381e-002	6.190071e-002	1.000000e+000	4.841588e-007	-4.841588e-007
2.844608596882381e-002	8.533819e-002	1.000000e+000	6.546552e-007	-6.546552e-007
3.723514846882381e-002	1.117054e-001	1.000000e+000	8.377106e-007	-8.377106e-007
4.797733596882381e-002	1.439319e-001	1.000000e+000	1.048599e-006	-1.048599e-006
