time	V(rc)
Step Information: Cap=100f  (Run: 1/10)
0.000000000000000e+000	-7.010943e-011
1.953124965725918e-017	2.585374e-008
3.906249931451836e-017	5.177760e-008
1.171874979435551e-015	1.555394e-006
2.265624960242065e-015	3.007221e-006
3.867187432137318e-015	5.133220e-006
5.507812403347089e-015	7.311205e-006
7.148437374556860e-015	9.489324e-006
9.648437330686035e-015	1.280862e-005
1.261718727858943e-014	1.675069e-005
1.699218720181549e-014	2.256087e-005
2.167968711955769e-014	2.878713e-005
2.792968700988063e-014	3.709058e-005
3.667968685633274e-014	4.871870e-005
4.980468662601091e-014	6.616823e-005
6.730468631891514e-014	8.944820e-005
9.230468588020689e-014	1.227340e-004
1.273046852660153e-013	1.693898e-004
1.723046844763405e-013	2.294778e-004
2.273046835111823e-013	3.030815e-004
3.473046814053828e-013	4.642693e-004
5.473046778957168e-013	7.349770e-004
6.273046764918504e-013	8.450348e-004
7.873046736841176e-013	1.068733e-003
7.923046735963759e-013	1.075908e-003
8.023046734208926e-013	1.090760e-003
8.223046730699260e-013	1.121215e-003
8.273046729821844e-013	1.129108e-003
8.373046728067011e-013	1.145394e-003
8.460546726531532e-013	1.160196e-003
8.548046724996053e-013	1.175556e-003
8.623046723679928e-013	1.189081e-003
8.660546723021866e-013	1.195934e-003
8.710546722144449e-013	1.205119e-003
8.723046721925095e-013	1.207420e-003
8.748046721486387e-013	1.212026e-003
8.798046720608971e-013	1.221226e-003
8.835546719950908e-013	1.228087e-003
8.898046718854138e-013	1.239429e-003
8.973046717538013e-013	1.252710e-003
9.073046715783180e-013	1.269848e-003
9.273046712273514e-013	1.302592e-003
9.673046705254182e-013	1.364303e-003
1.047304669121552e-012	1.482135e-003
1.067304668770585e-012	1.510758e-003
1.107304668068652e-012	1.567064e-003
1.187304666664786e-012	1.679368e-003
1.207304666313819e-012	1.707411e-003
1.247304665611886e-012	1.763512e-003
1.347304663857053e-012	1.903948e-003
1.557304660171904e-012	2.200404e-003
1.697304657715137e-012	2.399164e-003
1.837304655258371e-012	2.598768e-003
1.957304653152572e-012	2.770482e-003
2.062304651309997e-012	2.921188e-003
2.132304650081614e-012	3.021884e-003
2.202304648853231e-012	3.122760e-003
2.272304647624848e-012	3.223820e-003
2.342304646396465e-012	3.325069e-003
2.402304645343565e-012	3.412007e-003
2.467304644202923e-012	3.506359e-003
2.517304643325507e-012	3.579064e-003
2.577304642272607e-012	3.666454e-003
2.622304641482932e-012	3.732112e-003
2.682304640430032e-012	3.819808e-003
2.747304639289391e-012	3.915025e-003
